year	algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals
2012	k-means	565	53.27433628318584	19.115044247787612	68.84955752212389	77.87610619469027	94.33628318584071
2012	k-medoids/PAM	117	69.23076923076923	17.94871794871795	61.53846153846154	69.23076923076923	93.16239316239316
2012	c-means/fuzzy c-means	51	45.09803921568628	21.568627450980394	68.62745098039215	70.58823529411765	94.11764705882354
2012	hierarchical	1715	78.134110787172	18.309037900874635	74.40233236151603	84.02332361516035	98.01749271137027
2012	ward	54	62.96296296296296	20.37037037037037	68.51851851851852	68.51851851851852	100.0
2012	OPTICS	1458	95.47325102880659	34.43072702331962	83.95061728395062	92.72976680384087	99.86282578875172
2012	GMM/mixture	175	63.42857142857143	24.571428571428573	54.857142857142854	76.57142857142857	96.57142857142857
2012	SOM	121	69.42148760330579	23.96694214876033	79.33884297520662	74.3801652892562	99.17355371900827
2012	MCL	204	79.90196078431373	27.941176470588236	61.27450980392157	88.72549019607843	98.52941176470588
2012	leiden	70	94.28571428571429	15.714285714285714	80.0	88.57142857142857	98.57142857142857
2012	generic cluster*	10037	85.40400518083092	29.03257945601275	77.83202152037461	87.76526850652586	98.9040549965129
2013	k-means	771	51.10246433203632	17.380025940337223	66.92607003891051	74.70817120622569	94.6822308690013
2013	k-medoids/PAM	148	70.27027027027027	18.243243243243242	61.486486486486484	76.35135135135135	94.5945945945946
2013	c-means/fuzzy c-means	100	51.0	30.0	72.0	79.0	98.0
2013	hierarchical	2235	79.46308724832215	16.465324384787472	73.46756152125279	83.17673378076063	97.62863534675616
2013	ward	79	64.55696202531645	8.860759493670885	67.0886075949367	81.0126582278481	92.40506329113924
2013	OPTICS	1801	95.7801221543587	33.31482509716824	85.50805108273181	92.50416435313714	99.83342587451416
2013	mean shift	55	89.0909090909091	27.272727272727273	83.63636363636364	81.81818181818181	100.0
2013	GMM/mixture	273	60.43956043956044	15.018315018315018	57.142857142857146	75.45787545787546	91.20879120879121
2013	SOM	124	66.12903225806451	19.35483870967742	70.96774193548387	78.2258064516129	94.35483870967742
2013	MCL	229	80.78602620087337	26.637554585152838	62.00873362445415	90.39301310043668	97.81659388646288
2013	community detection	54	20.37037037037037	22.22222222222222	14.814814814814815	77.77777777777777	85.18518518518519
2013	leiden	99	90.9090909090909	27.272727272727273	76.76767676767676	86.86868686868686	95.95959595959596
2013	generic cluster*	12961	85.21719003163336	26.67232466630661	77.06967055011188	87.1306226371422	98.72695008101226
2014	k-means	977	52.917093142272265	17.707267144319346	69.49846468781986	78.1985670419652	93.9611054247697
2014	k-medoids/PAM	199	65.32663316582915	18.592964824120603	64.82412060301507	78.89447236180905	94.47236180904522
2014	c-means/fuzzy c-means	104	44.23076923076923	31.73076923076923	80.76923076923077	80.76923076923077	98.07692307692308
2014	hierarchical	2742	79.90517870167761	17.21371261852662	71.88183807439825	84.28154631655725	97.4835886214442
2014	ward	87	68.96551724137932	12.64367816091954	67.816091954023	81.60919540229885	95.40229885057471
2014	OPTICS	2135	95.83138173302108	35.97189695550351	84.30913348946136	93.6768149882904	99.85948477751757
2014	mean shift	60	80.0	25.0	86.66666666666667	86.66666666666667	100.0
2014	BIRCH	52	90.38461538461539	23.076923076923077	67.3076923076923	88.46153846153847	98.07692307692308
2014	spectral	58	27.586206896551722	17.24137931034483	43.10344827586207	70.6896551724138	82.75862068965517
2014	GMM/mixture	375	60.53333333333333	20.0	57.86666666666667	76.26666666666667	93.6
2014	SOM	152	66.44736842105263	21.05263157894737	67.10526315789474	75.65789473684211	93.42105263157895
2014	MCL	254	77.16535433070867	24.409448818897637	64.56692913385827	84.25196850393701	96.45669291338582
2014	community detection	86	19.767441860465116	13.953488372093023	19.767441860465116	83.72093023255815	86.04651162790698
2014	leiden	110	88.18181818181819	24.545454545454547	77.27272727272727	82.72727272727273	93.63636363636364
2014	generic cluster*	15594	84.68641785302039	27.311786584583814	77.25407207900474	88.01462100808003	98.64050275747083
2015	k-means	1153	50.39028620988725	18.560277536860365	68.08326105810929	77.9705117085863	95.49002601908066
2015	k-medoids/PAM	245	70.20408163265306	17.551020408163264	64.89795918367346	79.18367346938776	94.6938775510204
2015	c-means/fuzzy c-means	134	53.73134328358209	24.62686567164179	73.88059701492537	70.8955223880597	95.5223880597015
